area;u_18;18_24;25_34;35_44;45_54;55_64;65_74;o_75;pop;White;Black;Native;Asian;Hawaiian;Other;2_or_more;Hispanic;Non_Hispanic;;;
24540;27,8;11,0;13,8;13,7;13,5;10,6;5,6;4,0;252.825;82,90;0,98;1,11;1,20;0,09;10,79;2,94;28,35;71,65;;;
24580;24,5;9,2;13,1;13,2;15,6;11,9;6,6;5,9;306.241;88,42;1,84;2,37;2,25;0,04;3,13;1,95;6,19;93,81;;;
24660;23,5;10,4;12,5;13,9;14,6;12,0;7,2;6,0;723.801;65,01;25,52;0,54;2,91;0,05;3,85;2,13;7,55;92,45;;;
24780;22,6;17,3;14,4;12,4;12,8;10,5;5,7;4,5;189.510;58,00;34,42;0,39;1,42;0,05;3,77;1,95;6,47;93,53;;;
24860;23,4;11,2;12,8;13,4;14,3;11,9;7,4;5,7;636.986;76,25;16,69;0,28;1,72;0,05;3,28;1,74;6,75;93,25;;;
25060;24,4;10,4;13,6;12,6;14,8;11,8;7,3;5,1;248.820;73,62;19,26;0,47;2,33;0,12;1,74;2,45;4,67;95,33;;;
25180;23,6;8,0;12,8;14,3;15,4;12,5;7,4;6,0;269.140;86,95;8,05;0,24;1,11;0,04;1,10;2,52;3,44;96,56;;;
25260;27,8;11,6;16,7;14,3;13,3;8,4;4,5;3,4;152.982;54,27;7,20;1,67;3,67;0,18;28,11;4,90;50,90;49,10;;;
25420;22,1;9,4;12,4;13,0;15,4;13,2;7,5;7,0;549.475;82,56;10,23;0,18;2,88;0,03;1,76;2,36;4,70;95,30;;;
25500;20,3;21,6;11,6;11,1;12,5;10,2;6,5;6,2;125.228;87,48;3,50;0,27;1,74;0,06;4,89;2,06;9,38;90,62;;;
25540;22,3;9,6;11,7;13,3;16,1;12,6;7,2;7,1;1.212.381;76,89;10,88;0,24;3,90;0,03;5,57;2,48;12,47;87,53;;;
25620;24,8;13,4;15,0;12,4;12,8;10,2;6,5;5,0;142.842;68,13;28,29;0,24;0,82;0,05;1,24;1,23;2,77;97,23;;;
25860;23,0;8,2;11,2;14,1;15,2;13,2;8,6;6,4;365.497;85,12;6,89;0,32;2,55;0,11;3,30;1,71;6,31;93,69;;;
25980;30,3;13,3;16,4;12,5;12,6;8,5;4,2;2,2;77.917;49,93;39,08;0,58;1,75;0,57;3,66;4,43;10,19;89,81;;;
