FFIEC CENSUS AND FFIEC ESTIMATED MSA/MD MEDIAN FAMILY INCOME FOR 2018 CRA/HMDA REPORTS;;;;;;
MSA/MD FIPS CODE NO. ;MSA/MD NAME;2015 MSA/MD MED* FAMILY INCOME;2018 FFIEC EST. MSA/MD MEDIAN FAMILY INCOME**;;;
38540;POCATELLO, ID                                                                                                                   ;57327;57300;;;
38660;PONCE, PR                                                                                                                       ;19046;19500;;;
38860;PORTLAND-SOUTH PORTLAND, ME                                                                                                     ;74701;81700;;;
38900;PORTLAND-VANCOUVER-HILLSBORO, OR-WA                                                                                             ;73089;81400;;;
38940;PORT ST. LUCIE, FL                                                                                                              ;56570;60500;;;
39140;PRESCOTT, AZ                                                                                                                    ;54475;61000;;;
39300;PROVIDENCE-WARWICK, RI-MA                                                                                                       ;73950;80600;;;
39340;PROVO-OREM, UT                                                                                                                  ;67248;74700;;;
39380;PUEBLO, CO                                                                                                                      ;51986;55300;;;
39460;PUNTA GORDA, FL                                                                                                                 ;54478;58300;;;
39540;RACINE, WI                                                                                                                      ;68728;78300;;;
39580;RALEIGH, NC                                                                                                                     ;78057;84300;;;
39660;RAPID CITY, SD                                                                                                                  ;63776;71900;;;
39740;READING, PA                                                                                                                     ;67696;71900;;;
39820;REDDING, CA                                                                                                                     ;55749;61400;;;
39900;RENO, NV                                                                                                                        ;65722;73500;;;
40060;RICHMOND, VA                                                                                                                    ;75126;83200;;;
40140;RIVERSIDE-SAN BERNARDINO-ONTARIO, CA                                                                                            ;61507;65800;;;
40220;ROANOKE, VA                                                                                                                     ;61791;65300;;;
40340;ROCHESTER, MN                                                                                                                   ;81036;86200;;;
40380;ROCHESTER, NY                                                                                                                   ;67757;74000;;;
40420;ROCKFORD, IL                                                                                                                    ;60048;66200;;;
40484;ROCKINGHAM COUNTY-STRAFFORD COUNTY, NH                                                                                          ;90150;101300;;;
40580;ROCKY MOUNT, NC                                                                                                                 ;48812;53000;;;
40660;ROME, GA                                                                                                                        ;51379;54400;;;
40900;SACRAMENTO--ROSEVILLE--ARDEN-ARCADE, CA                                                                                         ;71829;80400;;;
40980;SAGINAW, MI                                                                                                                     ;54210;56500;;;
41060;ST. CLOUD, MN                                                                                                                   ;69359;70600;;;
41100;ST. GEORGE, UT                                                                                                                  ;58145;64600;;;
41140;ST. JOSEPH, MO-KS                                                                                                               ;59820;64300;;;
41180;ST. LOUIS, MO-IL                                                                                                                ;70718;76600;;;
41420;SALEM, OR                                                                                                                       ;58033;67300;;;
41500;SALINAS, CA                                                                                                                     ;62441;69100;;;
41540;SALISBURY, MD-DE                                                                                                                ;63091;69200;;;
41620;SALT LAKE CITY, UT                                                                                                              ;71849;79700;;;
41660;SAN ANGELO, TX                                                                                                                  ;59830;64800;;;
41700;SAN ANTONIO-NEW BRAUNFELS, TX                                                                                                   ;62228;67400;;;
41740;SAN DIEGO-CARLSBAD, CA                                                                                                          ;75179;81800;;;
41884;SAN FRANCISCO-REDWOOD CITY-SOUTH SAN FRANCISCO, CA                                                                              ;103742;116400;;;
41900;SAN GERMÁN, PR                                                                                                                  ;19414;19200;;;
41940;SAN JOSE-SUNNYVALE-SANTA CLARA, CA                                                                                              ;107126;123400;;;
41980;SAN JUAN-CAROLINA-CAGUAS, PR                                                                                                    ;25617;26300;;;
42020;SAN LUIS OBISPO-PASO ROBLES-ARROYO GRANDE, CA                                                                                   ;76771;80600;;;
42034;SAN RAFAEL, CA                                                                                                                  ;121130;134800;;;
42100;SANTA CRUZ-WATSONVILLE, CA                                                                                                      ;81912;81400;;;
42140;SANTA FE, NM                                                                                                                    ;64734;72000;;;
42200;SANTA MARIA-SANTA BARBARA, CA                                                                                                   ;74824;79600;;;
42220;SANTA ROSA, CA                                                                                                                  ;77587;84100;;;
42340;SAVANNAH, GA                                                                                                                    ;61754;65200;;;
42540;SCRANTON--WILKES-BARRE--HAZLETON, PA                                                                                            ;59887;66700;;;
42644;SEATTLE-BELLEVUE-EVERETT, WA                                                                                                    ;92317;103400;;;
42680;SEBASTIAN-VERO BEACH, FL                                                                                                        ;58448;64600;;;
42700;SEBRING, FL                                                                                                                     ;42321;43800;;;
43100;SHEBOYGAN, WI                                                                                                                   ;66599;74700;;;
43300;SHERMAN-DENISON, TX                                                                                                             ;60873;65200;;;
43340;SHREVEPORT-BOSSIER CITY, LA                                                                                                     ;56158;59900;;;
43420;SIERRA VISTA-DOUGLAS, AZ                                                                                                        ;55471;58400;;;
43524;SILVER SPRING-FREDERICK-ROCKVILLE, MD                                                                                           ;112655;118700;;;
